Member,Total VP,MANA VP,LAND VP,NAMES VP,Delegated VP,L1 Wearables VP,Rental VP,Has Delegated,Delegate,Has Delegators,Delegators Amount,Delegators,Avatar Preview
0x7820fd2ca0ccaba83b3639a2d5343573b7989863,2760.7363504458563,650.7363504458564,2000,100,0,10,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x7820fd2ca0ccaba83b3639a2d5343573b7989863
0x0d2179f301d48756d03d091c85537b90fb4ba15b,135,0,0,100,0,35,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x0d2179f301d48756d03d091c85537b90fb4ba15b
0x3fb38cee8d0ba7dcf59403a8c397626dc9c7a13b,934603.4342778015,1222.6007049316695,24000,200,909180.8335728699,0,0,false,,true,14,"0x983a902bb91876e4d12787843900274598350828,0x53887f0dee06c6459bc928f9f39beccac3947325,0x252ba78469235c352f58f28f7c98db62dd385146,0xe64581f067cfdce58657e3c0f58175e638c30f2b,0x26648e3f7c7b12e55f6637f4bb5bd75314af943a,0xdb8883f376f58edfdb8b33b984309a2f7d5f7cd6,0x1ceac56672e1bdcbb8e465f784b04efb17a9e762,0xb357e7575a780980e4cee86654a6acd0cc13b77f,0x10a86582df1460309cbc276e6c44a1776c39f048,0x415aafdb5816ef16556bfbe305b9f342362b08e9,0xa937c72617d585c942cef2de876d909b0b21d54b,0xb5dd64b2e83a01fd880e2268d93329dc5b72f558,0x069fcdfbc4b1f4f816c7b11674649431dd0199a5,0xb039cd95ca4e8b6768af3745965078d84322ade4",https://wearable-preview.decentraland.org/?profile=0x3fb38cee8d0ba7dcf59403a8c397626dc9c7a13b
0x7b78f347cc40f15344ede278ecec4e39e1f15485,106.33530934085643,6.335309340856432,0,100,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x7b78f347cc40f15344ede278ecec4e39e1f15485
0x9cf7a1bf516a5bb95458a43ab030242b2aed5ae2,311,1,0,300,0,10,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x9cf7a1bf516a5bb95458a43ab030242b2aed5ae2
0x37f00ec67d68c2d3c662339c183d37403c36f28e,116.11766018881829,106.11766018881829,0,0,0,10,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x37f00ec67d68c2d3c662339c183d37403c36f28e
0x06228ba4cfc8332dcf7036096af33bc060d9f808,66.07421046,66.07421046,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x06228ba4cfc8332dcf7036096af33bc060d9f808
0x1bbec7a15d0f0853b8f3ca0ad4d3573ce186d5ee,2121.3639978210845,21.363997821084435,2000,100,0,0,0,true,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,false,0,,https://wearable-preview.decentraland.org/?profile=0x1bbec7a15d0f0853b8f3ca0ad4d3573ce186d5ee
0xad015f00d380da858c76d736ff0f266608db0d98,305,0,0,300,0,5,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xad015f00d380da858c76d736ff0f266608db0d98
0xf863045ffcddbba9970d65096119195aaa493d9d,28558.151727914563,0,0,0,28558.151727914563,0,0,false,,true,6,"0x100eb445c9a826fd85c8d4ec4d5aecda418a7a92,0x5e3206e87c90919b50ba069b9050c2d4865d7bf6,0x5d3390c0dadcfd5c765b4e5d0488b1de6c1ff500,0x5db7996aa940540f50d01048492b0d6c121d65fb,0x887425205f2d659d4028a51b048ce27ff469d4ed,0xc8ad6322821b51da766a4b2a82b39fb72b53d276",https://wearable-preview.decentraland.org/?profile=0xf863045ffcddbba9970d65096119195aaa493d9d
0x7bc07eb3b7db966e4f6e5d439f8c33aff5f628b3,2841.5822086900002,2441.5822086900002,0,400,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x7bc07eb3b7db966e4f6e5d439f8c33aff5f628b3
0x77f478a73858f55973e6ad80f57502793730b721,3069.3601573169976,669.3601573169977,2000,400,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x77f478a73858f55973e6ad80f57502793730b721
0x078ad2aa3b4527e4996d087906b2a3da51bba122,2369.1007997563565,54.10079975635632,2000,200,0,115,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x078ad2aa3b4527e4996d087906b2a3da51bba122
0x33dd6632ed8a08ae8c6b931edfcba8866478cc37,15918,0,0,14700,0,1218,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x33dd6632ed8a08ae8c6b931edfcba8866478cc37
0xea9fd61f8335b5ad47109b0794a3a68d524f89f8,331.5,331.5,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0xea9fd61f8335b5ad47109b0794a3a68d524f89f8
0x42003af76a3eef54f0b7f59b4c21410e62949535,0,0,0,0,0,0,0,false,,false,0,,https://wearable-preview.decentraland.org/?profile=0x42003af76a3eef54f0b7f59b4c21410e62949535
