Record ID,Update ID,Proposal ID,Proposal type,Proposal category,Financial category,Description,Amount,Token,Receiver,Link
132,61fb0195-2ad3-11ee-8fbb-d9eddf5c2b3f,b51854d0-1666-11ee-93a7-ed9294f83f74,grant,Core Unit,Team Compensation,DAO strategic facilitation,5333,DAI,0x7266baC9E08d645B160dDd769b5b7e311196539b,https://etherscan.io/tx/0x7a74a678e8e8fd14732df15e7802547cd52f79f81a0460225fb94feafd6385f5
133,ee1b9834-308a-11ee-a512-65477fceb1b0,17783750-18d1-11ee-93a7-ed9294f83f74,grant,In-World Content,Team Compensation,SDK and Backend Development Team Salary,9500,DAI,0xF5A0b294F9193E7aAfF255E9e962456495eCf5FD,https://etherscan.io/tx/0x39bf6b0fa2b62b741b82ba41189301eaa8c0b6eb4c039d4db398dcf45f4f1839
134,ee1b9834-308a-11ee-a512-65477fceb1b0,17783750-18d1-11ee-93a7-ed9294f83f74,grant,In-World Content,Other,Management,6570,DAI,0x447C9058bE5c164e0c4aae380381e7A5215052D4,https://etherscan.io/tx/0x61cba6802ecd56776f6877ecd44f7023e266ce57042fde6bd2f77ac4bd9d0bcd
138,5d379973-bc9b-43a0-be8e-0e531a9f86ca,3d4be4a7-a007-4fa0-8f97-71e2385684a0,grant,Sponsorship,Other,DAO > Foundation for travel expenditures,10000,DAI,0xc8A3496559bCa9e1a8883dBEaC2E2B9E5D83a0F4,https://etherscan.io/tx/0xd3341f4788e606be78902f26745ee6eedff23b2171430dcf934609c596e02699
139,5d379973-bc9b-43a0-be8e-0e531a9f86ca,3d4be4a7-a007-4fa0-8f97-71e2385684a0,grant,Sponsorship,Other,DAO > Foundation for travel expenditures,10000,DAI,0xc8A3496559bCa9e1a8883dBEaC2E2B9E5D83a0F4,https://etherscan.io/tx/0x647785685f1862daaa15b789094f4d8f61bc3f7a3357ec10ea82bb9166d8ddbe
135,993d1d45-3b91-11ee-9496-2daa447e4bf3,0e970750-2052-11ee-b5f5-f3f361e3b760,grant,Social Media Content,Team Compensation,Decentraland Brazil Team Wage,6000,DAI,0x3429CbFf7EB34e4C9dD9D7E41041fd7b2a01FdB0,https://etherscan.io/tx/0x11064bcd16a3f5b7a2c4f5f0b7dd40ca815676ad3ef8a2b00eabaab1fc1dab46
142,5dc34bb8-4895-4e15-91cb-07c5836c92e8,b136bb90-648b-11ee-a1c9-233702efe10a,grant,In-World Content,Marketing,OCT - MARKETING,200,DAI,0xddf4da877d64c694ac69175feedb19a2591f7d7f,https://polygonscan.com/tx/0x80024395ab4f7fe8fec34d66026d6d753e2d44b481ed35f331a9490c914c0e1f
143,5dc34bb8-4895-4e15-91cb-07c5836c92e8,b136bb90-648b-11ee-a1c9-233702efe10a,grant,In-World Content,Marketing,NOV - MARKETING,200,DAI,0xddf4da877d64c694ac69175feedb19a2591f7d7f,https://polygonscan.com/tx/0x80024395ab4f7fe8fec34d66026d6d753e2d44b481ed35f331a9490c914c0e1f
144,5dc34bb8-4895-4e15-91cb-07c5836c92e8,b136bb90-648b-11ee-a1c9-233702efe10a,grant,In-World Content,Marketing,DEC - MARKETING,150,DAI,0x1771e483fc81a4a35fb659f18e75a55e8af0cde8,https://polygonscan.com/tx/0x326f029d9f37a83a67c79db87e7e3701dbf1519e748c2659b1111d535c7d0e3f
145,5dc34bb8-4895-4e15-91cb-07c5836c92e8,b136bb90-648b-11ee-a1c9-233702efe10a,grant,In-World Content,Marketing,DEC - MARKETING,50,DAI,0xddf4da877d64c694ac69175feedb19a2591f7d7f,https://polygonscan.com/tx/0x326f029d9f37a83a67c79db87e7e3701dbf1519e748c2659b1111d535c7d0e3f
146,5dc34bb8-4895-4e15-91cb-07c5836c92e8,b136bb90-648b-11ee-a1c9-233702efe10a,grant,In-World Content,Contractors,DEC - Teya Flow DJ for IRL Party,200,DAI,0x2605c70f87d3a188d42688f55fb576540435c65a,https://polygonscan.com/tx/0xd2a7e220d4b78bfe257cf73ab1c494905e49756d9ed32d02d9864f4f311b6c3b
147,5dc34bb8-4895-4e15-91cb-07c5836c92e8,b136bb90-648b-11ee-a1c9-233702efe10a,grant,In-World Content,Contractors,DEC - ZOORAB DJ for DIGITAL Party,200,DAI,0xc3d6b3189cb174304fab74565a59bbe51412d20c,https://polygonscan.com/tx/0xd2a7e220d4b78bfe257cf73ab1c494905e49756d9ed32d02d9864f4f311b6c3b
148,5dc34bb8-4895-4e15-91cb-07c5836c92e8,b136bb90-648b-11ee-a1c9-233702efe10a,grant,In-World Content,Contractors,DEC - D-Noise DJ for DIGITAL Party,200,DAI,0xa59c5a5ca452e7cd86afa6d25d608c689fbec43a,https://polygonscan.com/tx/0xd2a7e220d4b78bfe257cf73ab1c494905e49756d9ed32d02d9864f4f311b6c3b
